3,307
3,761
4,926
5,774
6,154
7,713
9,74
9,111
12,214
13,56
13,318
13,902
14,230
14,497
16,354
16,432
17,19
19,597
20,494
20,502
20,734
21,295
22,12
22,656
24,52
26,23
26,101
28,675
28,743
29,382
29,843
30,235
32,723
34,260
34,887
38,94
39,455
40,588
41,446
41,792
43,188
43,887
46,395
46,832
49,57
49,840
50,252
52,13
52,409
52,573
53,671
53,985
55,250
55,794
57,975
59,790
60,509
61,45
62,69
62,491
62,797
63,606
64,830
67,83
69,434
69,642
73,467
74,161
74,568
74,606
74,903
75,114
75,144
75,593
75,812
75,849
76,735
77,144
82,851
82,986
83,592
84,284
84,417
85,472
86,206
91,930
92,783
93,650
93,857
94,173
94,294
94,377
94,580
95,376
95,524
96,89
96,111
96,196
97,326
97,368
100,863
102,657
103,31
103,357
104,846
105,633
106,333
107,130
109,36
109,683
109,808
110,482
112,544
113,660
114,317
115,352
115,953
117,745
121,952
124,987
126,283
127,881
128,203
128,964
132,231
132,669
132,758
133,930
134,327
134,653
134,904
135,317
136,81
138,769
139,58
139,718
139,818
141,131
142,477
144,329
144,888
144,922
145,133
145,695
148,499
148,780
149,651
149,874
150,63
150,494
151,338
151,822
151,979
152,146
152,242
152,849
152,907
153,691
155,976
157,82
159,63
160,354
161,116
161,373
162,116
162,635
163,816
164,114
164,461
164,662
166,370
166,669
167,414
167,789
168,646
170,431
172,606
173,98
175,19
179,98
179,783
180,22
180,90
180,475
180,727
181,341
181,375
182,876
183,73
183,108
184,525
185,116
188,270
188,765
189,607
192,323
193,730
194,5
195,210
196,934
199,418
199,484
200,193
200,705
204,498
206,415
207,412
210,393
210,434
211,116
211,294
211,509
211,642
214,380
215,680
216,80
216,967
217,676
218,614
220,98
221,476
222,9
225,496
226,198
228,371
228,446
229,61
232,390
232,728
234,159
236,66
236,778
237,502
237,585
238,60
241,507
243,435
243,707
243,943
245,702
247,708
249,531
250,436
251,820
252,395
253,235
254,175
255,103
257,424
257,720
260,776
262,757
265,208
266,163
268,749
268,826
269,652
270,135
270,674
270,827
272,188
272,524
273,890
274,876
276,237
276,432
277,854
279,479
280,517
281,560
282,233
283,463
286,707
287,455
287,968
288,252
290,271
292,192
292,873
293,931
294,106
298,932
299,142
299,330
301,48
301,480
302,576
303,264
304,817
305,361
305,429
305,572
308,610
309,295
310,760
313,120
313,842
314,15
315,283
317,7
317,83
317,614
317,967
318,114
319,43
319,384
320,184
320,678
321,1000
323,350
323,607
327,280
327,988
330,64
335,548
335,887
337,77
338,151
338,212
338,440
339,172
342,815
343,162
347,664
349,433
352,401
355,238
355,396
356,27
357,773
358,328
360,77
360,668
361,346
362,30
362,170
366,940
367,968
371,692
373,60
376,234
376,815
376,918
377,8
377,628
377,795
377,970
379,776
381,125
384,411
384,430
385,57
385,146
385,547
386,28
386,844
389,384
390,153
390,255
390,357
391,528
395,204
397,377
400,97
401,225
401,439
402,779
403,115
403,593
403,623
407,264
408,195
408,878
410,208
411,645
411,734
413,383
413,503
414,749
414,928
417,529
418,514
419,479
419,837
421,728
421,752
424,137
425,271
428,135
430,284
430,389
430,583
430,918
431,450
432,561
433,672
435,702
435,757
436,695
436,912
436,990
437,718
438,930
439,592
439,593
439,922
441,601
441,957
442,817
443,31
443,526
443,728
443,754
444,134
444,208
444,212
444,464
444,615
444,666
446,481
446,940
448,376
450,276
450,986
451,45
453,739
453,783
455,91
456,393
456,736
456,994
457,688
458,661
458,686
459,559
461,208
463,110
463,575
464,839
471,205
472,736
474,331
474,931
477,30
477,219
478,82
478,851
479,313
479,562
479,757
480,22
480,113
480,601
482,141
482,311
482,718
483,522
486,129
487,90
489,529
489,898
491,572
495,828
496,611
498,346
498,980
498,998
499,691
499,740
499,880
500,414
500,688
500,946
503,601
503,875
504,852
505,547
505,697
506,979
507,593
508,298
509,350
510,156
511,175
